----------------------------------------
Global Perplexity over 521 songs: 1.1616
----------------------------------------

Mendelssohn_Canzonetta_Op12: tokens=1023, perplexity=1.1321
Mertz_20Die_vier_Haimonskinder_Op8_No9: tokens=1021, perplexity=1.1580
Mertz_Anna_Bolena_Op8_No6%20: tokens=1023, perplexity=1.2876
Mertz_Bardenklange_Polonaise2_Op13_No12: tokens=734, perplexity=1.1350
Mertz_Bardenklange_Romanze_Op13_No10: tokens=399, perplexity=1.3209
Mertz_Fantaisie_originale_Op65_No2: tokens=1014, perplexity=1.1912
Mertz_Fantasia_Trovatore_Verdi_Op.86: tokens=1023, perplexity=1.2334
Mertz_Gondolier_Op65_No3: tokens=1020, perplexity=1.2035
Mertz_Landler_No5_Op9: tokens=386, perplexity=1.0865
Mertz_Moses_Rossini_Op8_No24: tokens=1023, perplexity=1.3853
Mertz_Postillon_Lonjumeaux_(Adam)_Op8_No13%20: tokens=1023, perplexity=1.2986
Milan_Pavana_No6: tokens=274, perplexity=1.1088
Molino_12_valses_Op9_No10: tokens=280, perplexity=1.0828
Molino_Op5_No4: tokens=1023, perplexity=1.0998
Molino_Rondo_La_Majeur: tokens=1018, perplexity=1.0587
Mompou_Suite_Compostelana_1Preludio: tokens=544, perplexity=1.2117
Mompou_Suite_Compostelana_2Coral: tokens=371, perplexity=1.1688
Mompou_Suite_Compostelana_3Cuna: tokens=481, perplexity=1.1642
Mompou_Suite_Compostelana_4Recitativo: tokens=464, perplexity=1.1823
Mompou_Suite_Compostelana_5Cancion: tokens=569, perplexity=1.1887
Mompou_Suite_Compostelana_6Muneira: tokens=1023, perplexity=1.1637
Montana_Suite_Colombiana_No2_4Porro: tokens=943, perplexity=1.1113
Morel_Danza_Brasileira: tokens=901, perplexity=1.1883
Morel_Misionera: tokens=1023, perplexity=1.1066
Moreno-Torroba_Aires_Mancha_3Coplilla: tokens=283, perplexity=1.1894
Moreno-Torroba_Castles_Spain_Zafra: tokens=662, perplexity=1.1502
Moreno-Torroba_Moros: tokens=438, perplexity=1.3747
Moreno-Torroba_Sonatina_Allegretto: tokens=930, perplexity=1.1543
Moreno_Torroba_Siete_Piezas_3Minueto_Majo: tokens=626, perplexity=1.1166
Moreno_Torroba_Siete_Piezas_4Ay_Malaguena: tokens=530, perplexity=1.1912
Moreno_Torroba_Siete_Piezas_5Aire_Vasco: tokens=335, perplexity=1.1088
Moreno_Torroba_Siete_Piezas_6Segoviana: tokens=684, perplexity=1.1606
Moreno_Torroba_Siete_Piezas_7Bolero_Menorquin: tokens=615, perplexity=1.2160
Mozart_Duet_pour_flute_et_guitare_Deutscher_Tanz: tokens=186, perplexity=1.1329
Mozart_Sonata_KV545_2Andante: tokens=504, perplexity=1.0620
Mozart_Tamino: tokens=1015, perplexity=1.2008
Mudarra_Conde_Claros: tokens=1023, perplexity=1.1065
Mudarra_Fantasia%20XI: tokens=541, perplexity=1.1530
Mudarra_Fantasia_I: tokens=204, perplexity=1.2546
Mudarra_Fantasia_Luduvico: tokens=474, perplexity=1.1581
Mudarra_Gallarda: tokens=377, perplexity=1.1107
Mudarra_Romanesca%20II: tokens=281, perplexity=1.1501
Mudarra_Romanesca_Guardama_Vacas: tokens=424, perplexity=1.2110
Murcia_Suite_in_C_Otra_Giga: tokens=386, perplexity=1.1874
Narvaez_Fantasia_Quinto_Tono: tokens=430, perplexity=1.2973
Nazareth_Espalhafatoso: tokens=1023, perplexity=1.1629
Oliva_Tisu: tokens=468, perplexity=1.2065
Pachelbel_Ciacona: tokens=1023, perplexity=1.2507
Pachelbel_P37_1.Canon: tokens=870, perplexity=1.0245
Pachelbel_P37_2.Gigue: tokens=376, perplexity=1.0422
Pachelbel_Suite_Dmin_1Allemande: tokens=371, perplexity=1.2479
Pachelbel_Suite_Dmin_2Courante: tokens=584, perplexity=1.1091
