----------------------------------------
Global Perplexity over 521 songs: 1.6624
----------------------------------------

Murcia_Suite_in_C_Otra_Giga: tokens=386, perplexity=2.3813
Narvaez_Fantasia_Quinto_Tono: tokens=430, perplexity=1.7452
Nazareth_Espalhafatoso: tokens=1023, perplexity=1.6525
Oliva_Tisu: tokens=468, perplexity=1.8085
Pachelbel_Ciacona: tokens=1023, perplexity=1.7009
Pachelbel_P37_1.Canon: tokens=870, perplexity=1.9103
Pachelbel_P37_2.Gigue: tokens=376, perplexity=2.4280
Pachelbel_Suite_Dmin_1Allemande: tokens=371, perplexity=2.0313
Pachelbel_Suite_Dmin_2Courante: tokens=584, perplexity=1.6134
Pachelbel_Suite_Dmin_4Gigue: tokens=291, perplexity=2.3960
Paco_de_Lucia_Sortilegio: tokens=445, perplexity=2.5828
Paganini_Ghiribizzi_MS43_No1: tokens=65, perplexity=1.9891
Paganini_Ghiribizzi_MS43_No14: tokens=572, perplexity=1.3331
Paganini_MS84_37sonates_No22: tokens=301, perplexity=2.1396
Paganini_MS84_37sonates_No25: tokens=442, perplexity=2.0187
Paganini_MS84_37sonates_No3: tokens=756, perplexity=1.7014
Paganini_MS84_37sonates_No32: tokens=441, perplexity=2.1986
Paganini_MS85_Sonates_No4: tokens=1023, perplexity=2.1297
Paganini_Sonata_MS86: tokens=311, perplexity=1.7478
Paganini_Tarantella: tokens=1022, perplexity=1.5226
Pellegrini_Allemanda: tokens=231, perplexity=1.7816
Pellegrini_Balleto: tokens=481, perplexity=1.5705
Pellegrini_Corrente: tokens=267, perplexity=1.4699
Pellegrini_Sarabande: tokens=163, perplexity=1.5827
Pellegrini_Toccatta: tokens=368, perplexity=1.6050
Pernambuco_Mimoso: tokens=1023, perplexity=1.6507
Piazzola_Otono_Porteno: tokens=1023, perplexity=1.6357
Piazzolla_Cinco_Piezas_No3_Acentuado: tokens=630, perplexity=1.9149
Piazzolla_Fuga_Misterio: tokens=541, perplexity=1.9842
Piazzolla_Histoire_du_Tango_Bordel_1900: tokens=1023, perplexity=1.8092
Piazzolla_Histoire_du_Tango_Concert_Aujourd'hui: tokens=1023, perplexity=2.0264
Piazzolla_Histoire_du_Tango_Nightclub_1960: tokens=1020, perplexity=1.7126
Piazzolla_Tango_No2: tokens=1014, perplexity=1.6459
Piazzolla_Tango_Suite_No1: tokens=1023, perplexity=1.6958
Ponce_Concierto_del_Sur-I-Allegretto: tokens=1023, perplexity=1.4842
Ponce_Prelude_No1: tokens=239, perplexity=1.9062
Ponce_Sonata_Romantica_Allegretto_vivo: tokens=1023, perplexity=1.3731
Ponce_Sonata_clasica_Menuet_Trio: tokens=862, perplexity=1.6569
Powell_Cancao_Amor_Ausente: tokens=744, perplexity=1.4269
Powell_Canto_Ossanha: tokens=511, perplexity=1.8628
PujolM_Imagenes_Abril_Ausencia: tokens=755, perplexity=1.8456
Pujol_Atardecer: tokens=639, perplexity=1.5302
Pujol_Estudio_No11: tokens=249, perplexity=1.3729
Pujol_Estudio_No29: tokens=92, perplexity=1.6544
Pujol_Estudio_No4: tokens=85, perplexity=1.8127
Purcell_Queen's_Dolour: tokens=162, perplexity=2.2925
Ravel_Menuet_Tombeau_Couperin: tokens=1023, perplexity=1.7592
