----------------------------------------
Global Perplexity over 521 songs: 1.1674
----------------------------------------

Mertz_Bardenklange_Romanze_Op13_No10: tokens=399, perplexity=1.3233
Mertz_Fantaisie_originale_Op65_No2: tokens=1023, perplexity=1.1926
Mertz_Fantasia_Trovatore_Verdi_Op.86: tokens=1023, perplexity=1.2151
Mertz_Gondolier_Op65_No3: tokens=1023, perplexity=1.2025
Mertz_Landler_No5_Op9: tokens=386, perplexity=1.0880
Mertz_Moses_Rossini_Op8_No24: tokens=1023, perplexity=1.1187
Mertz_Postillon_Lonjumeaux_(Adam)_Op8_No13%20: tokens=1023, perplexity=1.3113
Milan_Pavana_No6: tokens=274, perplexity=1.1198
Molino_12_valses_Op9_No10: tokens=280, perplexity=1.0968
Molino_Op5_No4: tokens=1023, perplexity=1.0805
Molino_Rondo_La_Majeur: tokens=1023, perplexity=1.0504
Mompou_Suite_Compostelana_1Preludio: tokens=544, perplexity=1.2196
Mompou_Suite_Compostelana_2Coral: tokens=371, perplexity=1.1766
Mompou_Suite_Compostelana_3Cuna: tokens=481, perplexity=1.1735
Mompou_Suite_Compostelana_4Recitativo: tokens=464, perplexity=1.1891
Mompou_Suite_Compostelana_5Cancion: tokens=569, perplexity=1.1930
Mompou_Suite_Compostelana_6Muneira: tokens=1023, perplexity=1.1640
Montana_Suite_Colombiana_No2_4Porro: tokens=943, perplexity=1.1117
Morel_Danza_Brasileira: tokens=901, perplexity=1.1922
Morel_Misionera: tokens=1023, perplexity=1.1089
Moreno-Torroba_Aires_Mancha_3Coplilla: tokens=283, perplexity=1.1916
Moreno-Torroba_Castles_Spain_Zafra: tokens=662, perplexity=1.1531
Moreno-Torroba_Moros: tokens=438, perplexity=1.3731
Moreno-Torroba_Sonatina_Allegretto: tokens=930, perplexity=1.1584
Moreno_Torroba_Siete_Piezas_3Minueto_Majo: tokens=626, perplexity=1.1218
Moreno_Torroba_Siete_Piezas_4Ay_Malaguena: tokens=530, perplexity=1.1936
Moreno_Torroba_Siete_Piezas_5Aire_Vasco: tokens=335, perplexity=1.1121
Moreno_Torroba_Siete_Piezas_6Segoviana: tokens=684, perplexity=1.1626
Moreno_Torroba_Siete_Piezas_7Bolero_Menorquin: tokens=615, perplexity=1.2216
Mozart_Duet_pour_flute_et_guitare_Deutscher_Tanz: tokens=186, perplexity=1.1372
Mozart_Sonata_KV545_2Andante: tokens=504, perplexity=1.0625
Mozart_Tamino: tokens=1023, perplexity=1.2096
Mudarra_Conde_Claros: tokens=1023, perplexity=1.1159
Mudarra_Fantasia%20XI: tokens=541, perplexity=1.1605
Mudarra_Fantasia_I: tokens=204, perplexity=1.2627
Mudarra_Fantasia_Luduvico: tokens=474, perplexity=1.1638
Mudarra_Gallarda: tokens=377, perplexity=1.1177
Mudarra_Romanesca%20II: tokens=281, perplexity=1.1575
Mudarra_Romanesca_Guardama_Vacas: tokens=424, perplexity=1.2157
Murcia_Suite_in_C_Otra_Giga: tokens=386, perplexity=1.1936
Narvaez_Fantasia_Quinto_Tono: tokens=430, perplexity=1.3133
Nazareth_Espalhafatoso: tokens=1016, perplexity=1.1748
Oliva_Tisu: tokens=468, perplexity=1.2141
Pachelbel_Ciacona: tokens=1020, perplexity=1.2637
Pachelbel_P37_1.Canon: tokens=870, perplexity=1.0266
Pachelbel_P37_2.Gigue: tokens=376, perplexity=1.0509
Pachelbel_Suite_Dmin_1Allemande: tokens=371, perplexity=1.2498
Pachelbel_Suite_Dmin_2Courante: tokens=584, perplexity=1.1090
Pachelbel_Suite_Dmin_4Gigue: tokens=291, perplexity=1.3035
Paco_de_Lucia_Sortilegio: tokens=445, perplexity=1.3056
Paganini_Ghiribizzi_MS43_No1: tokens=65, perplexity=1.2616
Paganini_Ghiribizzi_MS43_No14: tokens=572, perplexity=1.0436
Paganini_MS84_37sonates_No22: tokens=301, perplexity=1.1443
Paganini_MS84_37sonates_No25: tokens=442, perplexity=1.1493
Paganini_MS84_37sonates_No3: tokens=756, perplexity=1.1188
Paganini_MS84_37sonates_No32: tokens=441, perplexity=1.1164
Paganini_MS85_Sonates_No4: tokens=1023, perplexity=1.1559
Paganini_Sonata_MS86: tokens=311, perplexity=1.1269
Paganini_Tarantella: tokens=1022, perplexity=1.1738
Pellegrini_Allemanda: tokens=231, perplexity=1.1974
Pellegrini_Balleto: tokens=481, perplexity=1.1102
Pellegrini_Corrente: tokens=267, perplexity=1.1037
Pellegrini_Sarabande: tokens=163, perplexity=1.0789
Pellegrini_Toccatta: tokens=368, perplexity=1.2320
Pernambuco_Mimoso: tokens=1016, perplexity=1.1308
Piazzola_Otono_Porteno: tokens=1023, perplexity=1.2861
Piazzolla_Cinco_Piezas_No3_Acentuado: tokens=630, perplexity=1.3108
Piazzolla_Fuga_Misterio: tokens=541, perplexity=1.2656
Piazzolla_Histoire_du_Tango_Bordel_1900: tokens=1023, perplexity=1.2072
Piazzolla_Histoire_du_Tango_Concert_Aujourd'hui: tokens=1023, perplexity=1.2795
Piazzolla_Histoire_du_Tango_Nightclub_1960: tokens=1023, perplexity=1.2435
Piazzolla_Tango_No2: tokens=1023, perplexity=1.2489
Piazzolla_Tango_Suite_No1: tokens=1016, perplexity=1.1910
Ponce_Concierto_del_Sur-I-Allegretto: tokens=1023, perplexity=1.1356
Ponce_Prelude_No1: tokens=239, perplexity=1.3599
Ponce_Sonata_Romantica_Allegretto_vivo: tokens=1023, perplexity=1.1300
Ponce_Sonata_clasica_Menuet_Trio: tokens=862, perplexity=1.1426
Powell_Cancao_Amor_Ausente: tokens=744, perplexity=1.1483
Powell_Canto_Ossanha: tokens=511, perplexity=1.1546
PujolM_Imagenes_Abril_Ausencia: tokens=755, perplexity=1.1866
Pujol_Atardecer: tokens=639, perplexity=1.1575
Pujol_Estudio_No11: tokens=249, perplexity=1.1172
Pujol_Estudio_No29: tokens=92, perplexity=1.2181
Pujol_Estudio_No4: tokens=85, perplexity=1.4050
Purcell_Queen's_Dolour: tokens=162, perplexity=1.2844
Ravel_Menuet_Tombeau_Couperin: tokens=1023, perplexity=1.1566
Regondi_Etude_No2: tokens=1023, perplexity=1.2575
Reis_Penumbra: tokens=568, perplexity=1.1369
Reis_Sobradinho: tokens=593, perplexity=1.1559
Reiss_Dois_Destinos: tokens=771, perplexity=1.1945
Reiss_E_Tao_Tarde: tokens=599, perplexity=1.1381
Reiss_Magoado_2guitares: tokens=1023, perplexity=1.0827
Reiss_Noite_Luna: tokens=1016, perplexity=1.0858
Reiss_Se_Ela_Purguntar: tokens=536, perplexity=1.0911
Reiss_Sinhazinha: tokens=866, perplexity=1.0993
